,index,ref,ref_p5,ref_p95,2050laag,2050laag_p5,2050laag_p95,2050hoog,2050hoog_p5,2050hoog_p95,2100laag,2100laag_p5,2100laag_p95,2100hoog,2100hoog_p5,2100hoog_p95
280,281,58.34166666666667,31.0,89.0,46.475,24.0,74.04999999999998,34.96666666666667,13.0,61.0,46.475,24.0,74.04999999999998,12.908333333333333,1.0,28.049999999999983
281,282,58.025,31.0,87.09999999999997,46.34166666666667,23.0,75.0,33.72083333333333,12.950000000000001,59.099999999999966,46.34166666666667,23.0,75.0,12.329166666666667,1.0,29.0
282,283,57.0875,30.950000000000003,86.04999999999998,44.766666666666666,20.950000000000003,73.04999999999998,32.75833333333333,11.950000000000001,58.099999999999966,44.766666666666666,20.950000000000003,73.04999999999998,11.525,0.0,27.0
283,284,57.0875,30.950000000000003,86.04999999999998,44.766666666666666,20.950000000000003,73.04999999999998,32.75833333333333,11.950000000000001,58.099999999999966,44.766666666666666,20.950000000000003,73.04999999999998,11.525,0.0,27.0
284,285,54.7,28.0,84.04999999999998,41.770833333333336,19.0,69.04999999999998,30.7125,11.0,56.04999999999998,41.770833333333336,19.0,69.04999999999998,10.666666666666666,0.0,25.0
285,286,51.80416666666667,26.950000000000003,82.0,38.90416666666667,17.0,66.04999999999998,28.7875,10.0,56.0,38.90416666666667,17.0,66.04999999999998,10.1375,0.0,24.049999999999983
286,287,48.704166666666666,23.950000000000003,78.04999999999998,36.0625,15.900000000000002,63.04999999999998,26.416666666666668,8.0,51.0,36.0625,15.900000000000002,63.04999999999998,9.05,0.0,22.0
287,288,48.704166666666666,23.950000000000003,78.04999999999998,36.0625,15.900000000000002,63.04999999999998,26.416666666666668,8.0,51.0,36.0625,15.900000000000002,63.04999999999998,9.05,0.0,22.0
288,289,47.675,23.0,75.0,34.958333333333336,14.950000000000001,62.04999999999998,25.8625,7.0,50.04999999999998,34.958333333333336,14.950000000000001,62.04999999999998,8.8625,0.0,22.0
289,290,49.895833333333336,23.950000000000003,80.0,37.358333333333334,16.950000000000003,64.09999999999997,27.866666666666667,8.0,54.04999999999998,37.358333333333334,16.950000000000003,64.09999999999997,10.566666666666666,0.0,27.0
290,291,49.895833333333336,23.950000000000003,80.0,37.358333333333334,16.950000000000003,64.09999999999997,27.866666666666667,8.0,54.04999999999998,37.358333333333334,16.950000000000003,64.09999999999997,10.566666666666666,0.0,27.0
291,292,49.37916666666667,24.0,79.04999999999998,34.729166666666664,13.0,62.0,27.8625,8.0,53.0,34.729166666666664,13.0,62.0,10.304166666666667,0.0,26.0
292,293,53.5875,26.950000000000003,83.0,38.954166666666666,16.0,67.04999999999998,28.908333333333335,9.950000000000001,57.0,38.954166666666666,16.0,67.04999999999998,10.179166666666667,0.0,25.049999999999983
293,294,58.766666666666666,32.0,89.09999999999997,45.825,20.0,75.04999999999998,30.441666666666666,9.950000000000001,61.04999999999998,45.825,20.0,75.04999999999998,10.470833333333333,0.0,26.0
294,295,58.766666666666666,32.0,89.09999999999997,45.825,20.0,75.04999999999998,30.441666666666666,9.950000000000001,61.04999999999998,45.825,20.0,75.04999999999998,10.470833333333333,0.0,26.0
295,296,63.75416666666667,35.0,94.04999999999998,51.2375,24.0,81.04999999999998,39.354166666666664,16.950000000000003,70.09999999999997,51.2375,24.0,81.04999999999998,14.6875,1.950000000000001,32.04999999999998
296,297,21.208333333333332,4.0,47.04999999999998,15.1625,1.0,37.04999999999998,11.533333333333333,0.0,31.0,15.1625,1.0,37.04999999999998,3.4208333333333334,0.0,14.049999999999983
297,298,21.208333333333332,4.0,47.04999999999998,15.1625,1.0,37.04999999999998,11.533333333333333,0.0,31.0,15.1625,1.0,37.04999999999998,3.4208333333333334,0.0,14.049999999999983
298,299,21.583333333333332,4.0,46.04999999999998,14.795833333333333,1.0,38.04999999999998,11.179166666666667,0.0,31.0,14.795833333333333,1.0,38.04999999999998,3.129166666666667,0.0,14.0
299,300,20.945833333333333,3.0,46.0,14.2625,1.0,38.099999999999966,10.620833333333334,0.0,30.049999999999983,14.2625,1.0,38.099999999999966,2.845833333333333,0.0,13.0
300,301,20.945833333333333,3.0,46.0,14.2625,1.0,38.099999999999966,10.620833333333334,0.0,30.049999999999983,14.2625,1.0,38.099999999999966,2.845833333333333,0.0,13.0
301,302,22.779166666666665,4.0,49.0,15.875,2.0,40.099999999999966,11.916666666666666,0.0,32.0,15.875,2.0,40.099999999999966,3.779166666666667,0.0,15.049999999999983
302,303,26.358333333333334,6.900000000000002,54.04999999999998,18.383333333333333,3.0,42.04999999999998,13.645833333333334,1.0,34.04999999999998,18.383333333333333,3.0,42.04999999999998,4.6875,0.0,15.0
303,304,26.358333333333334,6.900000000000002,54.04999999999998,18.383333333333333,3.0,42.04999999999998,13.645833333333334,1.0,34.04999999999998,18.383333333333333,3.0,42.04999999999998,4.6875,0.0,15.0
304,305,34.295833333333334,13.0,62.099999999999966,23.7625,6.0,47.099999999999966,17.179166666666667,3.0,39.0,23.7625,6.0,47.099999999999966,5.583333333333333,0.0,17.049999999999983
305,306,42.94166666666667,17.0,77.04999999999998,32.30416666666667,10.950000000000001,61.04999999999998,24.9875,6.0,53.04999999999998,32.30416666666667,10.950000000000001,61.04999999999998,8.320833333333333,0.0,22.0
306,307,51.6125,25.0,84.0,40.7375,17.0,70.04999999999998,29.8375,8.950000000000001,58.0,40.7375,17.0,70.04999999999998,9.791666666666666,0.0,25.0
307,308,51.6125,25.0,84.0,40.7375,17.0,70.04999999999998,29.8375,8.950000000000001,58.0,40.7375,17.0,70.04999999999998,9.791666666666666,0.0,25.0
308,309,57.204166666666666,30.950000000000003,88.04999999999998,46.6,22.0,75.0,35.0875,13.0,63.099999999999966,46.6,22.0,75.0,12.654166666666667,1.0,27.049999999999983
309,310,55.9375,29.0,86.04999999999998,44.333333333333336,21.0,72.04999999999998,33.02916666666667,11.950000000000001,58.099999999999966,44.333333333333336,21.0,72.04999999999998,12.55,1.0,28.049999999999983
310,311,55.9375,29.0,86.04999999999998,44.333333333333336,21.0,72.04999999999998,33.02916666666667,11.950000000000001,58.099999999999966,44.333333333333336,21.0,72.04999999999998,12.55,1.0,28.049999999999983
311,312,55.9125,28.950000000000003,86.04999999999998,44.31666666666667,21.0,73.04999999999998,33.141666666666666,12.0,59.04999999999998,44.31666666666667,21.0,73.04999999999998,12.55,1.0,28.0
312,313,56.979166666666664,29.0,87.0,45.49583333333333,21.950000000000003,72.14999999999995,34.395833333333336,13.0,61.0,45.49583333333333,21.950000000000003,72.14999999999995,12.875,1.0,28.049999999999983
313,314,56.979166666666664,29.0,87.0,45.49583333333333,21.950000000000003,72.14999999999995,34.395833333333336,13.0,61.0,45.49583333333333,21.950000000000003,72.14999999999995,12.875,1.0,28.049999999999983
314,315,57.52916666666667,30.0,89.0,46.15,22.950000000000003,75.0,34.80416666666667,13.950000000000001,61.04999999999998,46.15,22.950000000000003,75.0,12.904166666666667,1.0,29.0
315,316,58.0375,31.0,88.0,46.40833333333333,22.950000000000003,76.0,34.8625,13.950000000000001,60.099999999999966,46.40833333333333,22.950000000000003,76.0,12.866666666666667,1.0,29.049999999999983
316,317,58.44166666666667,31.950000000000003,90.0,47.00833333333333,21.0,76.04999999999998,35.708333333333336,13.950000000000001,62.0,47.00833333333333,21.0,76.04999999999998,13.141666666666667,1.0,29.049999999999983
317,318,58.44166666666667,31.950000000000003,90.0,47.00833333333333,21.0,76.04999999999998,35.708333333333336,13.950000000000001,62.0,47.00833333333333,21.0,76.04999999999998,13.141666666666667,1.0,29.049999999999983
318,319,59.2625,32.95,89.04999999999998,46.954166666666666,24.0,76.0,35.49583333333333,13.950000000000001,62.0,46.954166666666666,24.0,76.0,12.6375,1.0,29.049999999999983
319,320,59.291666666666664,32.0,91.0,46.525,23.950000000000003,75.0,35.00416666666667,13.900000000000002,62.04999999999998,46.525,23.950000000000003,75.0,12.158333333333333,0.0,28.0
320,321,59.291666666666664,32.0,91.0,46.525,23.950000000000003,75.0,35.00416666666667,13.900000000000002,62.04999999999998,46.525,23.950000000000003,75.0,12.158333333333333,0.0,28.0
321,322,57.233333333333334,30.0,86.04999999999998,44.34166666666667,22.950000000000003,73.0,33.28333333333333,12.950000000000001,60.0,44.34166666666667,22.950000000000003,73.0,11.6,1.0,27.0
322,323,52.90833333333333,28.0,82.09999999999997,40.670833333333334,18.950000000000003,67.09999999999997,29.666666666666668,10.0,55.0,40.670833333333334,18.950000000000003,67.09999999999997,10.508333333333333,0.0,25.0
323,324,46.52916666666667,22.0,76.0,33.94166666666667,14.0,59.14999999999995,25.395833333333332,7.0,50.0,33.94166666666667,14.0,59.14999999999995,8.925,0.0,21.0
324,325,46.52916666666667,22.0,76.0,33.94166666666667,14.0,59.14999999999995,25.395833333333332,7.0,50.0,33.94166666666667,14.0,59.14999999999995,8.925,0.0,21.0
325,326,45.09166666666667,20.0,76.04999999999998,32.6875,13.950000000000001,60.099999999999966,24.158333333333335,6.0,48.04999999999998,32.6875,13.950000000000001,60.099999999999966,8.425,0.0,21.099999999999966
326,327,43.2625,18.0,74.04999999999998,31.579166666666666,12.0,57.14999999999995,23.883333333333333,6.0,49.04999999999998,31.579166666666666,12.0,57.14999999999995,8.341666666666667,0.0,21.049999999999983
327,328,43.2625,18.0,74.04999999999998,31.579166666666666,12.0,57.14999999999995,23.883333333333333,6.0,49.04999999999998,31.579166666666666,12.0,57.14999999999995,8.341666666666667,0.0,21.049999999999983
328,329,43.975,18.950000000000003,74.0,33.016666666666666,12.950000000000001,61.04999999999998,25.195833333333333,6.950000000000001,51.0,33.016666666666666,12.950000000000001,61.04999999999998,9.329166666666667,0.0,24.0
329,330,47.583333333333336,22.0,78.04999999999998,36.420833333333334,15.950000000000001,63.04999999999998,26.929166666666667,7.0,55.0,36.420833333333334,15.950000000000001,63.04999999999998,9.8375,0.0,25.0
330,331,53.37916666666667,29.0,84.04999999999998,39.55833333333333,16.950000000000003,65.0,30.5625,9.950000000000001,58.04999999999998,39.55833333333333,16.950000000000003,65.0,11.354166666666666,0.0,27.0
331,332,53.37916666666667,29.0,84.04999999999998,39.55833333333333,16.950000000000003,65.0,30.5625,9.950000000000001,58.04999999999998,39.55833333333333,16.950000000000003,65.0,11.354166666666666,0.0,27.0
332,333,57.4625,30.0,89.0,48.575,23.0,77.04999999999998,35.05,12.0,66.04999999999998,48.575,23.0,77.04999999999998,13.908333333333333,1.0,32.0
333,334,21.529166666666665,3.0,47.099999999999966,15.4125,0.0,38.0,11.558333333333334,0.0,33.0,15.4125,0.0,38.0,3.370833333333333,0.0,14.0
334,335,21.529166666666665,3.0,47.099999999999966,15.4125,0.0,38.0,11.558333333333334,0.0,33.0,15.4125,0.0,38.0,3.370833333333333,0.0,14.0
335,336,20.870833333333334,3.0,47.04999999999998,14.341666666666667,0.0,37.0,10.583333333333334,0.0,32.0,14.341666666666667,0.0,37.0,2.8666666666666667,0.0,12.0
336,337,19.0125,2.950000000000001,43.099999999999966,12.954166666666667,0.0,34.0,9.295833333333333,0.0,28.099999999999966,12.954166666666667,0.0,34.0,2.3625,0.0,12.0
337,338,19.0125,2.950000000000001,43.099999999999966,12.954166666666667,0.0,34.0,9.295833333333333,0.0,28.099999999999966,12.954166666666667,0.0,34.0,2.3625,0.0,12.0
338,339,19.220833333333335,3.0,41.0,12.954166666666667,0.9500000000000011,32.04999999999998,9.233333333333333,0.0,27.049999999999983,12.954166666666667,0.9500000000000011,32.04999999999998,2.2375,0.0,9.049999999999983
339,340,22.883333333333333,5.0,47.0,15.575,1.950000000000001,37.04999999999998,11.295833333333333,0.0,31.0,15.575,1.950000000000001,37.04999999999998,3.1625,0.0,12.0
340,341,22.883333333333333,5.0,47.0,15.575,1.950000000000001,37.04999999999998,11.295833333333333,0.0,31.0,15.575,1.950000000000001,37.04999999999998,3.1625,0.0,12.0
341,342,29.679166666666667,10.0,57.04999999999998,20.75,4.0,43.0,14.904166666666667,1.0,36.0,20.75,4.0,43.0,4.75,0.0,16.0
342,343,40.31666666666667,15.0,74.04999999999998,29.833333333333332,8.0,58.0,22.908333333333335,4.950000000000001,52.04999999999998,29.833333333333332,8.0,58.0,7.645833333333333,0.0,22.049999999999983
343,344,49.50833333333333,23.0,80.09999999999997,39.05833333333333,15.950000000000001,67.0,29.166666666666668,8.950000000000001,54.099999999999966,39.05833333333333,15.950000000000001,67.0,9.3,0.0,24.0
344,345,49.50833333333333,23.0,80.09999999999997,39.05833333333333,15.950000000000001,67.0,29.166666666666668,8.950000000000001,54.099999999999966,39.05833333333333,15.950000000000001,67.0,9.3,0.0,24.0
345,346,55.766666666666666,29.0,88.04999999999998,44.895833333333336,20.0,72.09999999999997,33.770833333333336,11.0,61.04999999999998,44.895833333333336,20.0,72.09999999999997,11.841666666666667,1.0,27.0
346,347,56.1875,29.0,87.04999999999998,44.608333333333334,20.950000000000003,73.0,33.77916666666667,12.0,62.0,44.608333333333334,20.950000000000003,73.0,12.266666666666667,1.0,26.0
347,348,56.1875,29.0,87.04999999999998,44.608333333333334,20.950000000000003,73.0,33.77916666666667,12.0,62.0,44.608333333333334,20.950000000000003,73.0,12.266666666666667,1.0,26.0
348,349,57.1375,29.950000000000003,88.0,45.37916666666667,21.950000000000003,72.04999999999998,33.829166666666666,12.0,61.0,45.37916666666667,21.950000000000003,72.04999999999998,12.45,1.0,27.0
349,350,58.275,29.0,89.04999999999998,47.6375,23.0,76.0,35.975,14.0,64.0,47.6375,23.0,76.0,13.433333333333334,1.0,29.0
350,351,58.5625,31.950000000000003,89.0,47.24166666666667,22.950000000000003,76.04999999999998,35.2375,14.0,62.04999999999998,47.24166666666667,22.950000000000003,76.04999999999998,13.058333333333334,1.0,29.0
351,352,58.5625,31.950000000000003,89.0,47.24166666666667,22.950000000000003,76.04999999999998,35.2375,14.0,62.04999999999998,47.24166666666667,22.950000000000003,76.04999999999998,13.058333333333334,1.0,29.0
352,353,59.229166666666664,31.950000000000003,90.0,47.141666666666666,24.950000000000003,76.0,35.53333333333333,14.0,61.04999999999998,47.141666666666666,24.950000000000003,76.0,12.9625,1.0,30.0
353,354,60.19583333333333,33.0,89.0,48.12083333333333,24.950000000000003,76.04999999999998,36.25416666666667,14.0,62.04999999999998,48.12083333333333,24.950000000000003,76.04999999999998,13.079166666666667,1.0,30.0
354,355,60.19583333333333,33.0,89.0,48.12083333333333,24.950000000000003,76.04999999999998,36.25416666666667,14.0,62.04999999999998,48.12083333333333,24.950000000000003,76.04999999999998,13.079166666666667,1.0,30.0
355,356,61.1625,33.0,91.04999999999998,48.3625,24.0,76.04999999999998,36.791666666666664,14.0,63.04999999999998,48.3625,24.0,76.04999999999998,13.229166666666666,1.0,30.0
356,357,60.3375,32.0,91.04999999999998,48.166666666666664,24.0,76.0,36.325,14.0,63.04999999999998,48.166666666666664,24.0,76.0,12.883333333333333,1.0,29.0
357,358,60.3375,32.0,91.04999999999998,48.166666666666664,24.0,76.0,36.325,14.0,63.04999999999998,48.166666666666664,24.0,76.0,12.883333333333333,1.0,29.0
358,359,58.21666666666667,30.950000000000003,90.04999999999998,44.94583333333333,22.0,71.04999999999998,33.708333333333336,12.0,60.04999999999998,44.94583333333333,22.0,71.04999999999998,11.8875,0.0,27.049999999999983
359,360,54.4125,28.900000000000002,85.0,40.93333333333333,19.0,66.09999999999997,30.229166666666668,11.0,56.04999999999998,40.93333333333333,19.0,66.09999999999997,11.041666666666666,0.0,27.0
360,361,45.78333333333333,22.0,77.04999999999998,33.266666666666666,13.950000000000001,60.0,24.804166666666667,7.0,49.04999999999998,33.266666666666666,13.950000000000001,60.0,9.033333333333333,0.0,21.0
361,362,45.78333333333333,22.0,77.04999999999998,33.266666666666666,13.950000000000001,60.0,24.804166666666667,7.0,49.04999999999998,33.266666666666666,13.950000000000001,60.0,9.033333333333333,0.0,21.0
362,363,43.775,19.950000000000003,74.0,31.583333333333332,13.0,57.0,23.516666666666666,6.0,48.0,31.583333333333332,13.0,57.0,8.304166666666667,0.0,21.0
