Jaar,Jaargemiddelde,Trend metingen,Lage uitstootscenario,Lage uitstootscenario-range (low),Lage uitstootscenario-range (high),2050laag,2100laag,Hoge uitstootscenario,Hoge uitstootscenario-range (low),Hoge uitstootscenario-range (high),2050hoog,2100hoog
2007,5.3,1,0.6573552782714467,-1.8332845004589582,3.1498479676971396,,,0.7486125086385691,-1.5343348030267476,3.0285107417757287,,
2008,2.4,,1.0178002456969768,-1.6181027772784096,3.656057143166639,,,1.1218722985905663,-1.2997766557756165,3.5404018379462627,,
2009,-0.8,,1.393362208844386,-1.3791377558132323,4.167404138369034,,,1.510513537992649,-1.0444820426081556,4.06220140189452,,
2010,-1.7,,1.7823824401589947,-1.118123489088558,4.685230486867555,,,1.9139637339477265,-0.7702083266671143,4.5950541182152795,,
2011,1.8,,2.184226075441946,-0.8378178842812298,5.209081962871789,,,2.3315217294333275,-0.47848657238522563,5.1377105020281055,,
2012,0.9,,2.5985144388233925,-0.5364429901023202,5.737961960836725,,,2.762949318035141,-0.1696267202288868,5.691444833261142,,
2013,-1.6,,3.0263241294988905,-0.21780114141007445,6.27130008721369,,,3.2086664730907666,0.15798994438145098,6.257071445832591,,
2014,2.5,,3.464557320499038,0.11974757726924246,6.811070861532424,,,3.6677785848823126,0.5000960658317881,6.8327304509095645,,
2015,5.1,,3.913422145170708,0.47526958130740793,7.355644515102278,,,4.139914315839122,0.8571372272575211,7.420016886105848,,
2016,3.5,,4.372522283937571,0.8455983342228102,7.907772146442723,,,4.625073645788115,1.2288331071129237,8.019092805470205,,
2017,7,,4.842129037429847,1.2272991179507349,8.464043142866217,,,5.12142103473582,1.6138627940773755,8.630283898757977,,
2018,-0.3,,5.323734586320389,1.624373111433445,9.027858635235699,,,5.632410171666529,2.013398040082347,9.255811614334025,,
2019,6.7,,5.815421124459845,2.035257088269522,9.601505196039728,,,6.157070262371456,2.4254763719889505,9.894976086919861,,
2020,7.3,,6.314839619706782,2.4562660512356844,10.18190304839137,,,6.69448398484795,2.8481376223351793,10.548701445908627,,
2021,5.2,,6.820547131105452,2.883341901314397,10.767329787877127,,,7.239869890767047,3.2791592181367726,11.213286240257546,,
2022,6.4,,7.337055122151143,3.3227937895203787,11.365242903654057,,,7.801433392670089,3.721309366872924,11.897179879677452,,
2023,,,7.868110074155486,3.7773920929463642,11.977879560100238,,,8.380699945106585,4.18159551338291,12.603810111100021,,
2024,,,8.404429485643146,4.233920734710126,12.594662906789043,,,8.968934243998977,4.647270231938397,13.3206855447404,,
2025,,,8.94463759550278,4.692933626425316,13.21952727680813,,,9.563565715795196,5.119370761888272,14.051909664464691,,
2026,,,9.492038487168728,5.158251953801224,13.855498397138515,,,10.172821176143351,5.600487709986791,14.803590554998213,,
2027,,,10.050240201112793,5.634435042353146,14.506208106112204,,,10.79841033169183,6.095100768359257,15.577055034104049,,
2028,,,10.613670153351084,6.106876485047629,15.166405112392361,,,11.434183690143264,6.595491985055216,16.366534104483,,
2029,,,11.181216351402142,6.580007696659515,15.839104944909543,,,12.078902201689505,7.099050196856674,17.173097635575584,,
2030,,,11.752525262543038,7.054228058555647,16.52256312223488,,,12.734642603160207,7.610277617709641,17.999511934869695,,
2031,,,12.334777335317444,7.5321999308262475,17.220149906337216,,,13.405308519528223,8.133859325836081,18.84890386774011,,
2032,,,12.929147541356095,8.016280806011515,17.94261614313158,,,14.095112756070012,8.670851299567516,19.72673074523992,,
2033,,,13.517339258110226,8.491688492034196,18.668395396037365,,,14.786900606222314,9.206092055320632,20.612535311868356,,
2034,,,14.11218026669404,8.967068707752652,19.404756424252867,,,15.489081589252024,9.746757597592818,21.521056769599728,,
2035,,,14.708392873537228,9.435946304188317,20.149868611225898,,,16.20104667470623,10.288819709019815,22.445177460111797,,
2036,,,15.315845143467417,9.907687046875804,20.916995832607235,,,16.93031467830751,10.845473040373825,23.39842072306547,,
